yourlist:M20201204A94466D2655679D1FD8953E075198DA81C4780X	Entry
AGER	Q15109
AGER	Q3L1R2
AGER	Q3L1R3
AGER	Q5SSZ2
AGER	Q5SSZ3
AGER	Q71BB6
AGER	Q71BG7
AGPAT1	A0A024RCV5
AGPAT1	Q99943
AGT	A7L3A1
AGT	A7L3A2
AGT	A7L3A3
AGT	A7L3A4
AGT	A7L3A5
AGT	B0ZBE2
AGT	P01019
AGT	Q53YY1
AHR	A0A024R9Z8
AHR	A0A2R8Y7G1
AHR	L0R578
AHR	P35869
AHSG	C9JV77
AHSG	P02765
AKAP8	M0QX51
AKAP8	M0QYL4
AKAP8	O43823
AKAP8	Q8NE02
AKT2	A0A0A0MRF1
AKT2	A0A0U4CQG9
AKT2	A0A1B0GXA2
AKT2	A0A5F9ZHJ8
AKT2	A8MX96
AKT2	C9J258
AKT2	C9JC83
AKT2	C9JHS6
AKT2	C9JIF6
AKT2	C9JIJ1
AKT2	E7EVP8
AKT2	J3KRI8
AKT2	J3KSY8
AKT2	J3KT31
AKT2	J3KTC6
AKT2	J3KTP4
AKT2	J3QKW1
AKT2	J3QL45
AKT2	J3QLS6
AKT2	M0QZK3
AKT2	M0QZW8
AKT2	M0R0P9
AKT2	M0R275
AKT2	M0R283
AKT2	P31751
AKT2	Q6P4H3
ALB	A0A087WWT3
ALB	A0A0C4DGB6
ALB	B7WNR0
ALB	C9JKR2
ALB	D6RCE7
ALB	D6RHD5
ALB	H0YA55
ALB	H7C013
ALB	P02768
ALB	Q6LEH2
ALB	Q8TES7
ALDH18A1	A0A2Z4QJC8
ALDH18A1	A0A2Z4QJG5
ALDH18A1	A0A2Z4QJH0
ALDH18A1	P54886
ALDH2	A0A384NPN7
ALDH2	B0LUF9
ALDH2	B0LUG0
ALDH2	B0LUG2
ALDH2	B4YAH7
ALDH2	F8VSB0
ALDH2	P05091
ALDH2	Q9UN17
ALDH2	S4R3S4
ALOX5	A0A087X109
ALOX5	I0CLG0
ALOX5	P09917
ALOX5AP	A0A087WW23
ALOX5AP	P20292
ANK3	A0A087WTE8
ANK3	A0A087WTF3
ANK3	A0A087WTP5
ANK3	A0A087WVC2
ANK3	A0A087WWI5
ANK3	A0A087WX55
ANK3	A0A087WY90
ANK3	A0A087WZ26
ANK3	A0A087WZ65
ANK3	A0A087X0B4
ANK3	A0A087X0L3
ANK3	A8KA62
ANK3	B1AQT1
ANK3	D6RBY7
ANK3	D6RF31
ANK3	D6RFK6
ANK3	D6RHY3
ANK3	H0Y3A4
ANK3	H0Y8Z4
ANK3	H0Y951
ANK3	H0Y9E9
ANK3	H0YA66
ANK3	H0YAH5
ANK3	Q12955
ANXA8	A0A075B748
ANXA8	A0A075B765
ANXA8	A0A087WTN9
ANXA8	P13928
AP3M1	A0A024QZR5
AP3M1	Q9Y2T2
APBA1	A0A0D9SFA9
APBA1	A0A0G2JMD7
APBA1	Q02410
APBB1	A0A075B7G8
APBB1	A0A087WYH9
APBB1	A0A087X0V7
APBB1	J3KPL8
APBB1	O00213
APBB1	Q8TEY4
APBB1	V9GY97
APBB1	V9GYD5
APBB1	V9GYR7
APBB1IP	L8EB04
APBB1IP	Q7Z5R6
APBB2	A0A0S2Z3A0
APBB2	A0A0S2Z3A2
APBB2	A0A1D5RMR3
APBB2	D6RAE0
APBB2	D6RAJ4
APBB2	D6RB00
APBB2	D6RB55
APBB2	D6RD19
APBB2	D6RDY3
APBB2	D6RGD4
APBB2	G5E9Y1
APBB2	H0Y943
APBB2	H0Y9U9
APBB2	H0YA92
APBB2	H0YAJ5
APBB2	Q5I0G1
APBB2	Q92870
APEX1	A0A0C4DGK8
APEX1	G3V2D9
APEX1	G3V359
APEX1	G3V3C7
APEX1	G3V3M6
APEX1	G3V3Y6
APEX1	G3V574
APEX1	G3V5D9
APEX1	G3V5M0
APEX1	G3V5Q1
APEX1	H7C4A8
APEX1	P27695
APEX1	Q5TZP7
APH1A	Q5TB21
APH1A	Q96BI3
APH1B	H0YKZ9
APH1B	H0YLT0
APH1B	H0YM95
APH1B	Q4R1J8
APH1B	Q8WW43
APOA1	A0A024R3E3
APOA1	F8W696
APOA1	P02647
APOA1	Q6LEJ8
APOA1BP	B4DP80
APOA1BP	Q6PGN4
APOA1BP	Q8NCW5
APOA2	P02652
APOA2	Q76EI7
APOA2	Q9UBQ9
APOA2	V9GYC1
APOA2	V9GYE3
APOA2	V9GYG9
APOA2	V9GYM3
APOA2	V9GYS1
APOA2	V9GYT0
APOA4	P06727
APOA4	Q13784
APOA5	A0A0B4RUS7
APOA5	A0A669KB69
APOA5	B0YIW1
APOA5	Q6Q788
APOB	A0A669KB70
APOB	A8MUN2
APOB	C0JYY2
APOB	E1B4S6
APOB	E1B4S7
APOB	E1B4S8
APOB	E1B4S9
APOB	L8E8C4
APOB	P04114
APOB	P78482
APOB	Q7Z7Q0
APOB	S5FLF7
APOB	S5FMV1
APOB	S5FVK9
APOBEC1	A0A0B4J232
APOBEC1	P41238
APOBEC1	Q4VB33
APOBEC2	Q9Y235
APOC1	A0A024R0T8
APOC1	K7EJI9
APOC1	K7EKP1
APOC1	K7ELM9
APOC1	K7ELU7
APOC1	K7EPF9
APOC1	K7EPR9
APOC1	K7ERI9
APOC1	P02654
APOC2	A0A024R0T9
APOC2	A0A0S2Z3C2
APOC2	P02655
APOC2	Q6P163
APOC2	V9GYJ8
APOC2	V9GZ01
APOC3	A3KPE2
APOC3	B0YIW2
APOC3	C9J2Q0
APOC3	P02656
APOC4	A5YAK2
APOC4	K7EMC3
APOC4	P55056
APOD	C9JF17
APOD	C9JX71
APOD	F8WBT9
APOD	P05090
APOE	A0A0S2Z3B1
APOE	A0A0S2Z3D5
APOE	A0A0S2Z3J5
APOE	A0A0S2Z3V0
APOE	A0A346DBY2
APOE	D9ZB55
APOE	E7ERP7
APOE	E9PEV4
APOE	H0Y7L5
APOE	J9ZVQ3
APOE	P02649
APOE	Q8TCZ8
APOM	I2D5I8
APOM	I2D5J2
APOM	O95445
APOM	Q5SRP5
APP	A0A0A0MRG2
APP	A0A218KGR2
APP	E9PG40
APP	H7C0V9
APP	H7C2L2
APP	L7XCZ9
APP	L7XE61
APP	L8EC46
APP	P05067
APP	Q9BYY9
AR	A0A087WUX9
AR	A0A087X1B6
AR	A0A3G2C3P2
AR	A0A6H0MAB3
AR	A0A6H0MAE6
AR	C0JKD5
AR	C0JKD6
AR	C0JKD7
AR	D2KF13
AR	D2Y6K2
AR	D3YPP9
AR	D3YPQ0
AR	D3YPQ1
AR	D3YPQ2
AR	D3YPQ3
AR	D5M8Q2
AR	E9PEG3
AR	F5GZG9
AR	P10275
AR	Q13771
AR	Q9UKJ6
AR	V9GZH8
AR	V9TLK5
AR	X5DNC5
ARID4A	A0A024R657
ARID4A	A0A024R680
ARID4A	A0A024R6A2
ARID4A	C9J1W3
ARID4A	C9JIF4
ARID4A	F8WAR5
ARID4A	H7C485
ARID4A	P29374
ARID4A	Q05CG0
ARID5B	A0A0B6XJY6
ARID5B	A0A2R8Y5F2
ARID5B	Q14865
ARL5B	B0YIW9
ARL5B	Q96KC2
ARMS2	B2Y7I6
ARMS2	P0C7Q2
ARSB	A0A024RAJ9
ARSB	A0A2U3U034
ARSB	E5RHC4
ARSB	P15848
ART3	A0A024RDB9
ART3	A0A024RDG4
ART3	E7ER42
ART3	E7ESB3
ART3	E7EX61
ART3	E9PGR5
ART3	Q13508
ART3	Q5J1K9
ART3	Q5J1P8
ART3	Q5J1Q0
ATF7	F8VWG7
ATF7	K7EKZ7
ATF7	K7ESA4
ATF7	P17544
ATP6V0A4	A0A024R791
ATP6V0A4	A0A2R8Y6X9
ATP6V0A4	A0A2R8Y7G6
ATP6V0A4	A0A2R8YE46
ATP6V0A4	A0A2R8YGN5
ATP6V0A4	Q9HBG4
ATXN1	A0A024R005
ATXN1	A0A2R8YCF3
ATXN1	P54253
ATXN1	Q96C81
ATXN1	Q96FF1
ATXN8OS	P0DMR3
AVPR1A	F8VW98
AVPR1A	P37288
AVPR1A	X5D2B0
AVPR1A	X5D789
BACE1	A0A024R3D5
BACE1	A0A024R3D7
BACE1	A0A024R3E8
BACE1	A0A024R3F9
BACE1	B7Z3Z4
BACE1	E9PJG7
BACE1	H0YDX0
BACE1	P56817
BACE1	Q6YBQ9
BACE1	Q8IYC8
BACE1	U3KPS1
BACE2	Q9Y5Z0
BAG3	C9JFK9
BAG3	O95817
BAT1	P82251
BAT1	Q13838
BAT1	Q7KYK3
BCAM	A0A068W6H0
BCAM	A0A087WXM8
BCAM	A0A0U3LNL0
BCAM	A0A0U4CBV7
BCAM	A0A0U4DJH2
BCAM	A0A172M5V3
BCAM	A0A1A9C7B7
BCAM	A0A1Z1VXG4
BCAM	A0A1Z1VXG5
BCAM	A0A6B9LT91
BCAM	A0A6B9LZX3
BCAM	K7ENU8
BCAM	K7ERB7
BCAM	P50895
BCHE	D3DNN4
BCHE	F8WEX7
BCHE	F8WF14
BCHE	H0Y885
BCHE	H7C4Y0
BCHE	P06276
BCHE	Q96HL2
BCL2	A0A024R2B3
BCL2	A0A024R2C4
BCL2	A0A1L4AQQ4
BCL2	A0A1L4AQQ5
BCL2	A0A1L4AQQ8
BCL2	A0A1L4AQR0
BCL2	A0A1L4AQR6
BCL2	A0N771
BCL2	P10415
BCL2	Q96PA0
BCL3	H7C0A2
BCL3	P20749
BCR	A0A024R1B9
BCR	A0A0U4EGU4
BCR	A0A173G4P0
BCR	A0A173G4P4
BCR	A0A2X0SFQ7
BCR	H0Y554
BCR	P11274
BCR	Q12843
BCR	Q12844
BCR	Q12845
BCR	Q5XJ20
BCR	Q6QJE3
BCR	Q6QJE4
BCR	Q6QJE5
BCR	Q6QJE6
BCR	Q6QJE7
BCR	Q6QJE8
BCR	Q6QJE9
BDNF	A0A0E3SU01
BDNF	A0A0S2Z3E7
BDNF	A0A0S2Z3M9
BDNF	E9PMP3
BDNF	P23560
BDNF	Q304R1
BDNF	Q6T2C9
BDNF	Q6YNR1
BICC1	A6NGY7
BICC1	Q9H694
BIN1	A0A024RAE9
BIN1	A0A024RAF0
BIN1	A0A024RAF1
BIN1	A0A024RAF6
BIN1	A0A024RAG8
BIN1	A0A024RAG9
BIN1	A0A024RAI4
BIN1	A0A024RAI5
BIN1	A0A024RAI6
BIN1	A0A024RAJ2
BIN1	A0A024RAJ3
BIN1	O00499
BIN1	Q9BTH3
BIRC3	A0A669KBC7
BIRC3	H0YCJ5
BIRC3	L8E7L9
BIRC3	Q13489
BLMH	J3KS79
BLMH	J3KSD8
BLMH	K7EMJ3
BLMH	K7ENH5
BLMH	K7ES02
BLMH	K7ESE8
BLMH	Q13867
C10orf112	L8ECQ7
C10orf112	Q5VYJ5
C12orf41	A0A024R131
C12orf41	L8E8U3
C12orf41	Q9H9L4
C1R	A0A3B3ISR2
C1R	A0A3B3ITU4
C1R	B4DPQ0
C1R	D3DUT5
C1R	F5GWL0
C1R	F5H1N6
C1R	F5H1V0
C1R	F5H2D0
C1R	F5H3A3
C1R	F5H3N3
C1R	F5H6Y3
C1R	P00736
C2	A0A0G2JHM4
C2	A0A0G2JI59
C2	A0A0G2JIE7
C2	A0A0G2JJ82
C2	A0A0G2JJM0
C2	A0A0G2JK28
C2	A0A0G2JL69
C2	A2ABG0
C2	B4DQI1
C2	C9JYQ5
C2	E9PDZ0
C2	F2Z306
C2	F2Z3N2
C2	F8WCJ9
C2	H0Y3H6
C2	H0Y868
C2	P06681
C2	Q5JP69
C2	Q5ST52
C2	Q6LBG4
C2	Q6LDG4
C2	Q86SV5
C2	Q8N6L6
C2	Q95IG1
C21orf55	Q9NX36
C21orf63	P58658
C4A	A0A0G2JPR0
C4A	A0A140TA32
C4A	A0A140TA44
C4A	A0A140TA49
C4A	P0C0L4
C4A	Q30211
C4A	Q6U2K2
C4A	V9H0D6
C4B	A0A0G2JL54
C4B	A0A140TA29
C4B	A0A3B3ISA6
C4B	A0A3B3ISD7
C4B	F5GXS0
C4B	P0C0L5
C4B	Q6U2E0
C4B	Q6U2E7
C4B	Q6U2H4
C4B	Q6U2L6
C4B	Q6U2M2
C4B	Q9UMV1
C4B	Q9UNU2
C4B	R9QA77
CACNB2	A0A087WUH4
CACNB2	A0A087WVX5
CACNB2	A0A087WWJ0
CACNB2	A0A2R8Y555
CACNB2	A0A2R8Y7A6
CACNB2	A0A2R8YFX9
CACNB2	A0A2U3TZM7
CACNB2	A0A494C044
CACNB2	A0A494C0B2
CACNB2	A0A494C0C3
CACNB2	A0A494C0Z9
CACNB2	A0A494C184
CACNB2	A0A494C1Q6
CACNB2	A6PVM6
CACNB2	Q08289
CACNB2	Q6TME0
CALHM1	Q8IU99
CALHM2	Q9HA72
CALHM3	Q86XJ0
CAMK1G	A0A494C109
CAMK1G	C9IYV2
CAMK1G	Q96NX5
CAMK2G	A0A2Q3DQE3
CAMK2G	B3KTH7
CAMK2G	H0Y6G2
CAMK2G	Q13555
CAMK2G	Q5SWX3
CAMK2G	Q8WU40
CAND1	A0A0C4DGH5
CAND1	F5H6I6
CAND1	H0YH27
CAND1	Q86VP6
CARD8	A0A024QZD3
CARD8	B5KVR7
CARD8	B5KVR8
CARD8	E5RFI5
CARD8	E5RFV9
CARD8	E5RGC9
CARD8	E5RGG3
CARD8	E5RHJ3
CARD8	E5RHZ3
CARD8	E5RIN1
CARD8	E5RJG3
CARD8	H0YB90
CARD8	H0YBW7
CARD8	I6L9C6
CARD8	Q9Y2G2
CASP3	A8MVM1
CASP3	C9JXR7
CASP3	P42574
CASP4	E9PMT1
CASP4	H0YD34
CASP4	P49662
CASP6	D6RBM3
CASP6	D6RHU3
CASP6	P55212
CASP8	A0A0A0MS31
CASP8	B5BU46
CASP8	B6CGU5
CASP8	C9JB29
CASP8	E7EQ01
CASP8	E7EQ06
CASP8	E7ETB7
CASP8	E7EVN1
CASP8	F8WF39
CASP8	H7BZM4
CASP8	H7C0E2
CASP8	K4FGA0
CASP8	Q14790
CASP8	Q6NVI2
CAST	A0A024RAN2
CAST	A0A0C4DGB5
CAST	A0A0C4DGD1
CAST	A0A1S5UZ18
CAST	A0A3G1T4K9
CAST	A0A6Q8PFE5
CAST	A0A6Q8PFF6
CAST	A0A6Q8PFL0
CAST	A0A6Q8PFR3
CAST	A0A6Q8PG40
CAST	A0A6Q8PG72
CAST	A0A6Q8PGG5
CAST	A0A6Q8PGN6
CAST	A0A6Q8PH20
CAST	A0A6Q8PH83
CAST	B7Z574
CAST	D6RAA8
CAST	D6RBR1
CAST	D6RBZ8
CAST	D6RC54
CAST	D6RGF7
CAST	E7EN75
CAST	E7EQ12
CAST	E7EQA0
CAST	E7EQK6
CAST	E7ES10
CAST	E7EVY3
CAST	E9PCH5
CAST	E9PDE4
CAST	E9PSG1
CAST	F8W7E0
CAST	H0Y7F0
CAST	H0Y944
CAST	H0Y9H6
CAST	H0YA91
CAST	H0YD33
CAST	O15446
CAST	P20810
CAST	Q13940
CAST	Q6AZE3
CAST	Q86YM9
CAT	A0A1C9J7V9
CAT	A0A3B3ITJ0
CAT	P04040
CAT	Q6IB77
CAV1	A0A024R757
CAV1	C9JKI3
CAV1	E9PCT5
CAV1	F8WDM7
CAV1	L8EC89
CAV1	Q03135
CAV1	Q2TNI1
CAV3	P56539
CBLC	A0A2R8Y647
CBLC	Q9ULV8
CBS	C9JMA6
CBS	H7C1W6
CBS	H7C2H4
CBS	H7C2W0
CBS	P35520
CBS	Q5CCK6
CBS	Q5CCK7
CCDC134	B0QY51
CCDC134	Q9H6E4
CCL2	J3KRT7
CCL2	P13500
CCL3	A0N0R1
CCL3	P10147
CCL5	A0A075B7C5
CCL5	A0A494C1Q1
CCL5	D0EI67
CCL5	P13501
CCL8	H0UIC7
CCL8	P80075
CCNT1	A0A1W2PQ16
CCNT1	O60563
CCR2	A0A024R2Q0
CCR2	B4XH68
CCR2	B4XH69
CCR2	E9PH76
CCR2	L7RER4
CCR2	L7REX9
CCR2	P41597
CCR5	A0A089G3J8
CCR5	A0A089G3K0
CCR5	A0A089G3K4
CCR5	A0A089G3L9
CCR5	A0A089G3M1
CCR5	A0A089G3M5
CCR5	A0A089G3M8
CCR5	A0A089G3N1
CCR5	A0A089G3N4
CCR5	A0A089G3P0
CCR5	A0A089G3P4
CCR5	A0A089G5M8
CCR5	A0A089G5N2
CCR5	A0A089G5Q8
CCR5	A0A089G5R2
CCR5	A0A089G5R6
CCR5	A0A089G5R7
CCR5	A0A089G5S5
CCR5	A0A089G5S8
CCR5	A0A089G6P0
CCR5	A0A089G6P4
CCR5	A0A089G6Q9
CCR5	A0A089G6R5
CCR5	A0A089G6R7
CCR5	A0A089G6S0
CCR5	A0A089G6S3
CCR5	A0A089G6S6
CCR5	A0A089G6S9
CCR5	A0A089G7F7
CCR5	A0A089G7G0
CCR5	A0A089G7G7
CCR5	A0A089G7G9
CCR5	A0A089G7H7
CCR5	A0A089G7H9
CCR5	A0A089G7J0
CCR5	A0A089G7J3
CCR5	A0A089G7J6
CCR5	A0A089H947
CCR5	A0A089H953
CCR5	A0A089H958
CCR5	A0A089H960
CCR5	A0A089H970
CCR5	A0A089H974
CCR5	A0A089H976
CCR5	A0A089H978
CCR5	A0A089H983
CCR5	A0A089H987
CCR5	A0A089H989
CCR5	A0A089H9A2
CCR5	A1A490
CCR5	B0EX00
CCR5	B0EX01
CCR5	B2KIU0
CCR5	B2KIU1
CCR5	B2KIU2
CCR5	B2KKJ9
CCR5	B8LFN8
CCR5	B8LFN9
CCR5	B8LFP0
CCR5	E7BJ57
CCR5	H9MHK7
CCR5	H9MHP3
CCR5	H9MHP4
CCR5	H9MHP5
CCR5	H9MHP6
CCR5	H9MHP8
CCR5	H9MHP9
CCR5	J7HDE9
CCR5	J7HDH2
CCR5	J7HDH6
CCR5	J7HGK0
CCR5	J7HJP1
CCR5	J7HJP8
CCR5	J7HKA4
CCR5	L7S2Y4
CCR5	O14694
CCR5	P51681
CCR5	Q38L21
CCR5	Q3L3Q6
CCR5	Q5EKM8
CCR5	Q5EKM9
CCR5	Q5EKN0
CCR5	Q5KSY4
CCR5	Q5KSY5
CCR5	Q5QIN9
CCR5	Q5QIP0
CCR5	Q5QIP1
CCR5	Q9P1T4
CCR5	Q9P1T5
CCR5	Q9P1T8
CCR5	Q9UBJ7
CCR5	Q9UBT9
CCR5	Q9UN23
CCR5	Q9UN24
CCR5	Q9UN25
CCR5	Q9UN26
CCR5	Q9UN27
CCR5	Q9UN28
CD14	D6RD81
CD14	D6RFL4
CD14	E7EVL5
CD14	F1C4A7
CD14	P08571
CD2AP	Q9Y5K6
CD33	A0A173G4N9
CD33	B4DF51
CD33	P20138
CD33	Q546G0
CD36	A0A0A1EAI1
CD36	A0A0A1ED81
CD36	A0A0G3VPD9
CD36	A0A0G3VQ57
CD36	A0A0G3VR70
CD36	A0A0G3VRE1
CD36	A0A0G3VSQ7
CD36	A0A0H3WBE8
CD36	A0A0H3WC42
CD36	A0A0H3WDH4
CD36	A0A0H3WDK6
CD36	A0A0H3WE82
CD36	A0A0S2Z3J6
CD36	A0A0S2Z452
CD36	A0A2D1WBA2
CD36	A0A516AFI0
CD36	A4D1B1
CD36	D9IX63
CD36	D9IX64
CD36	D9IX65
CD36	E7ERZ9
CD36	E7EU05
CD36	E7EVU1
CD36	E7EWI4
CD36	E7EX47
CD36	E9PC45
CD36	E9PJX8
CD36	E9PLT1
CD36	H0YEE7
CD36	P16671
CD36	Q13965
CD36	V5M404
CD40	A0A087X1D0
CD40	A0A0S2Z349
CD40	A0A0S2Z3C7
CD40	H0YE23
CD40	P25942
CD40	Q6P2H9
CDC2	A0A024QZJ8
CDC2	A0A024QZP7
CDC2	I6L9I5
CDC2	P06493
CDK5	A0A090N7W4
CDK5	A0A0S2Z355
CDK5	Q00535
CDK5	Q6IAW3
CDK5R1	J3QRB5
CDK5R1	Q15078
CDK5R1	Q8N619
CDK5R1	Q8TAM4
CDKN2A	A7LNE7
CDKN2A	D1LYX3
CDKN2A	J3QRG6
CDKN2A	K7ENC6
CDKN2A	K7ES20
CDKN2A	K7PML8
CDKN2A	L8E941
CDKN2A	P42771
CDKN2A	Q208B5
CDKN2A	Q2MJK0
CDKN2A	Q5ZEY9
CDKN2A	Q8N726
CDKN2A	Q9UPB7
CDX2	A0A076MKN9
CDX2	A0A0M3L9V7
CDX2	Q99626
CECR2	A0A087WT21
CECR2	A0A0R4J2E1
CECR2	B7WPH3
CECR2	H0Y2Z1
CECR2	L8E8W0
CECR2	Q9BXF3
CELF2	A0A0J9YX66
CELF2	A0A0J9YXJ0
CELF2	A0A0J9YXK1
CELF2	A0A1B0GU44
CELF2	A0A1B0GUN8
CELF2	E9PC62
CELF2	O95319
CELF2	Q5VZZ6
CELF2	V9GY47
CELF2	V9GYD9
